# movement list (max length: 22, possible max lenght: 38)

0x08C38C8C アイドリング
0x08C601EC ゴメンとだけ呟いた
0x08C6021F NULL
0x08C60252 パズルのように繋ぎ合わせた未来
0x08C60285 僕が無くしたのはどこのピースだろう
0x08C602B8 NULL
0x08C602EB 寂しさで汚した心
0x08C6031E 真っ白な空白に浮かべて
0x08C60351 虚しさだけが残るこの部屋で
0x08C60384 そっと巡るよ君の記憶を
0x08C603B7 NULL
0x08C603EA 変わってしまった心の形を
0x08C6041D 無理矢理あてはめてみるけど
0x08C60450 痛いんだ 苦しいよ　君を傷つけて
0x08C60483 NULL
0x08C604B6 寂しさで汚した心
0x08C604E9 真っ白な空白に浮かべて
0x08C6051C 虚しさだけが残るこの部屋で
0x08C6054F そっと巡るよ
0x08C60582 NULL
0x08C605B5 探そう僕と君の形を
0x08C605E8 例え同じ風景にいなくても
0x08C6061B 笑いあって寄り添った日々の
0x08C6064E 欠片抱いて眠るよ
0x08C60681 NULL

# Palette

0x08C606B4 泣いたような声でさ
0x08C606E7 静かに笑うんだ
0x08C6071A 想像を写した
0x08C6074D 彩のパレット
0x08C60780 NULL
0x08C607B3 Please,distinguish me.
0x08C607E6 溢れ出す色を
0x08C60819 だれか　止めてよ
0x08C6084C 消えちゃう
0x08C6087F NULL
0x08C608B2 「愛してる」を溶かした青は
0x08C608E5 やさしいなみだ
0x08C60918 「ありがとう」を浮かべた赤に
0x08C6094B やさしいうたを
0x08C6097E NULL
0x08C609B1 (I will be「Eraser's mind」.)
0x08C609E4 NULL
0x08C60A17 紡ぎだす群青
0x08C60A4A 廻る記憶に
0x08C60A7D 絡まった僕らの
0x08C60AB0 未来が
0x08C60AE3 色付く
0x08C60B16 NULL
0x08C60B49 「愛してる」を描いた黒は
0x08C60B7C やさしいきおく
0x08C60BAF 「ありがとう」を溢した白に
0x08C60BE2 やさしいキスを
0x08C60C15 NULL

# Sennen no Dokusouka (DIVA edit)

0x08C60C48 ひとり灰色の丘　乾いた枯草踏みしめて
0x08C60C7B 思い巡らせる　空の彼方に
0x08C60CAE 風に揺れる花びら　柔らかなあなたの微笑み
0x08C60CE1 淡い記憶のかけら　セピア色の向こうの幻
0x08C60D14 NULL
0x08C60D47 誰も知らない歌を奏でよう
0x08C60D7A この身が錆びて停まろうとも
0x08C60DAD 崩れかけた墓標に歌い続けよう
0x08C60DE0 あなたの残した歌を
0x08C60E13 NULL
0x08C60E46 この体は全て　作り物でしかないけど
0x08C60E79 この心はせめて　歌に捧げていよう
0x08C60EAC NULL
0x08C60EDF かすかに軋む銀の歯車
0x08C60F12 響いてゆく鈍色の鼓動
0x08C60F45 ガラスの瞳に映るこの空は
0x08C60F78 どんなまやかしだろう
0x08C60FAB NULL
0x08C60FDE あなたと出逢ったすみれの丘も
0x08C61011 幾千の夜に灰色の亡骸
0x08C61044 NULL
0x08C61077 この体は全て　作り物でしかないけど
0x08C610AA この心はせめて　歌に捧げていよう
0x08C610DD この月の下で
0x08C61110 もうめぐり逢うこともないけど
0x08C61143 この空に向かって　歌い続けていよう
0x08C61176 NULL

# Boukyaku Shinjuu

0x08C611A9 例えば明日、君が死ぬとしたら
0x08C611DC 今日のうちに何がしたい？
0x08C6120F 生きた証しを残そうか
0x08C61242 生きる術を見つけようか
0x08C61275 NULL
0x08C612A8 例え命が散っても思い出は消えない
0x08C612DB 例え世界が散っても魂は消えない
0x08C6130E だけど忘れるのが人間だから
0x08C61341 その時に忘却心中しようか
0x08C61374 NULL
0x08C613A7 あの歴史はもう忘れた人の方が多い
0x08C613DA 勝った者が正義になってた時代の話
0x08C6140D 僕が死んだら何日で皆忘れるだろう
0x08C61440 辿り着く答えなんてきっと無いのだろう
0x08C61473 NULL
0x08C614A6 覚えてます。覚えてます。
0x08C614D9 あなたの手の温もりを・・・
0x08C6150C NULL
0x08C6153F 感情の性感帯を切り裂いて
0x08C61572 その時に忘却心中しましょう
0x08C615A5 NULL
0x08C615D8 あの事件ももう忘れた人の方が多い
0x08C6160B 幼い頃学んだ常識は壊されて
0x08C6163E 明日が死んでも何人の人が気付くだろう
0x08C61671 それは知らない方が幸せなのかも…
0x08C616A4 NULL
0x08C616D7 ありがとう。ありがとう。
0x08C6170A わたしの血の温もりと…
0x08C6173D NULL
0x08C61770 覚えてます。憶えてます。
0x08C617A3 あなたの手の温もりを…
0x08C617D6 NULL

# Musunde Hiraite Rasetsu to Mukuro

0x08C61809 片足無くした猫が笑う
0x08C6183C 「ソコ行ク御嬢サン遊ビマショ」
0x08C6186F 首輪に繋がる赤い紐は
0x08C618A2 片足の代わりになっちゃいない
0x08C618D5 NULL
0x08C61908 や　や　や　や　嫌　嫌　嫌
0x08C6193B NULL
0x08C6196E 列成す卒塔婆（そとば）の群れが歌う
0x08C619A1 「ソコ行ク御嬢サン踊リマショ」
0x08C619D4 足元密かに咲いた花は
0x08C61A07 しかめっ面しては愚痴ってる
0x08C61A3A NULL
0x08C61A6D 腹を見せた鯉幟（こいのぼり）
0x08C61AA0 孕（はら）んだのは髑髏（されこうべ）
0x08C61AD3 NULL
0x08C61B06 やい　やい　遊びに行こうか
0x08C61B39 やい　やい　笑えや笑え
0x08C61B6C らい　らい　むすんでひらいて
0x08C61B9F らい　らい　羅刹（らせつ）と骸（むくろ）
0x08C61BD2 NULL
0x08C61C05 一つ二つ三つで　また開いて
0x08C61C38 五つ六つ七つで　その手を上に
0x08C61C6B 松の樹には首輪で　宙ぶらりんりん
0x08C61C9E 皆皆皆で　結びましょ
0x08C61CD1 NULL
0x08C61D04 結局皆様他人事（結局皆様他人事）
0x08C61D37 結局皆様他人事（結局皆様他人事）
0x08C61D6A 結局皆様他人事（結局皆様他人事）
0x08C61D9D NULL
0x08C61DD0 他人の不幸は　知らんぷり！
0x08C61E03 NULL
0x08C61E36 やい　やい　子作りしようか
0x08C61E69 やい　やい　世迷（よま）えや世迷え
0x08C61E9C らい　らい　イロハニ惚れ惚れ
0x08C61ECF らい　らい　羅刹（らせつ）と骸（むくろ）
0x08C61F02 NULL
0x08C61F35 一つ二つ三つで　また開いて
0x08C61F68 五つ六つ七つで　その手を上に
0x08C61F9B 鳥が泣いてしまわぬ　内にはらへら
0x08C61FCE 一つ二つ三つで　また明日
0x08C62001 NULL
0x08C62034 一つ二つ三つで　また明日
0x08C62067 NULL

# Rolling Girl

0x08C6209A ロンリーガールはいつまでも
0x08C620CD 届かない夢見て
0x08C62100 騒ぐ頭の中を
0x08C62133 掻き回して、掻き回して。
0x08C62166 NULL
0x08C62199 「問題ない。」と呟いて、
0x08C621CC 言葉は失われた？
0x08C621FF もう失敗、もう失敗。
0x08C62232 間違い探しに終われば、また、回るの！
0x08C62265 NULL
0x08C62298 もう一回、もう一回。
0x08C622CB 「私は今日も転がります。」と、
0x08C622FE 少女は言う　少女は言う
0x08C62331 言葉に意味を奏でながら！
0x08C62364 NULL
0x08C62397 「もう良いかい？」
0x08C623CA 「まだですよ、まだまだ先は見えないので。
0x08C623FD 　息を止めるの、今。」
0x08C62430 NULL
0x08C62463 ローリンガールの成れの果て
0x08C62496 届かない、向こうの色
0x08C624C9 重なる声と声を
0x08C624FC 混ぜあわせて、混ぜあわせて。
0x08C6252F NULL
0x08C62562 「問題ない。」と呟いた言葉は失われた。
0x08C62595 どうなったって良いんだってさ、
0x08C625C8 間違いだって起こしちゃおうと誘う、坂道。
0x08C625FB NULL
0x08C6262E もう一回、もう一回。
0x08C62661 私をどうか転がしてと
0x08C62694 少女は言う　少女は言う
0x08C626C7 無口に意味を重ねながら！
0x08C626FA NULL
0x08C6272D 「もう良いかい？」
0x08C62760 「もう少し、もうすぐ何か見えるだろうと。
0x08C62793 　息を止めるの、今。」
0x08C627C6 NULL
0x08C627F9 もう一回、もう一回。
0x08C6282C 「私は今日も転がります。」と、
0x08C6285F 少女は言う　少女は言う
0x08C62892 言葉に笑みを奏でながら！
0x08C628C5 NULL
0x08C628F8 「もう良いかい？　もう良いよ。
0x08C6292B 　そろそろ君も疲れたろう、ね。」
0x08C6295E NULL
0x08C62991 息を止（や）めるの、今。
0x08C629C4 NULL

# Starduster

0x08C629F7 誰より大切な君に
0x08C62A2A 愛されないことを恐れて 
0x08C62A5D 一万年先の星まで
0x08C62A90 ひとっ跳びで逃げた
0x08C62AC3 NULL
0x08C62AF6 吸い込んだ真空の温度で 
0x08C62B29 感覚が凍りつく前に 
0x08C62B5C この身体一つ分の
0x08C62B8F 愛を
0x08C62BC2 NULL
0x08C62BF5 愛を　今すぐ
0x08C62C28 愛を　私に
0x08C62C5B 愛を　どうか
0x08C62C8E 愛を
0x08C62CC1 NULL
0x08C62CF4 愛を…
0x08C62D27 NULL

# Paradichlorobenzene

0x08C62D5A ボクは何の為に歌う？
0x08C62D8D パラジクロロベンゼン
0x08C62DC0 ただ意味も理解せずに歌う
0x08C62DF3 パラジクロロベンゼン
0x08C62E26 そう　答え求め走り出した
0x08C62E59 パラジクロロベンゼン
0x08C62E8C その先に辿り着いて何もないと知ったけど
0x08C62EBF さぁ　歌いましょう　踊りましょう
0x08C62EF2 パラジクロロベンゼン
0x08C62F25 さぁ　喚きましょう　叫びましょう
0x08C62F58 パラジクロロベンゼン
0x08C62F8B 犬も　猫も　牛も　豚も　みな
0x08C62FBE パラジクロロベンゼン
0x08C62FF1 さぁ　狂いましょう　眠りましょう
0x08C63024 朽ち果てるまで　さぁ
0x08C63057 NULL
0x08C6308A ルールがボクは嫌で
0x08C630BD ただ縛られたくなくて
0x08C630F0 だからボクは逃げ出して
0x08C63123 後先の事は忘れ
0x08C63156 指図されるのが嫌で
0x08C63189 少し悪になりたくて
0x08C631BC 深夜家を抜け出して
0x08C631EF 夜の街を走り抜け
0x08C63222 何の為に生きるのか
0x08C63255 ボクは野良猫に話しかけた
0x08C63288 猫は何も答えずに
0x08C632BB ただ見下した眼でボクを見た
0x08C632EE 飲めもしないコーヒー飲み干して
0x08C63321 曇り空を見上げたんだ
0x08C63354 今のボクに何が出来る？
0x08C63387 それすらわからない
0x08C633BA NULL
0x08C633ED だからボクは歌い叫ぶんだ
0x08C63420 パラジクロロベンゼン
0x08C63453 その意味も理解せずに喚く
0x08C63486 パラジクロロベンゼン
0x08C634B9 これでキミは満足出来るの？
0x08C634EC パラジクロロベンゼン
0x08C6351F 掟　規則　破ったらキミは何か変わるの？
0x08C63552 そう　誰でもいい　ぶちまけたい
0x08C63585 ＊＊＊＊＊＊＊＊＊＊（パラジクロロベンゼン）
0x08C635B8 悪を叩く　正義ふりかざす
0x08C635EB ＊＊＊＊＊＊＊＊＊＊
0x08C6361E 正義盾に　ストレス解消
0x08C63651 ＊＊＊＊＊＊＊＊＊＊
0x08C63684 周り止める　ボクら気付かない　愚かな行為
0x08C636B7 NULL
0x08C636EA あぁ　この歌に意味はあるの？
0x08C6371D この詩に意味はないよ
0x08C63750 この歌に罪はあるの？
0x08C63783 この詩に罪はないよ
0x08C637B6 ＊＊＊＊に意味はあるの？
0x08C637E9 ＊＊＊＊に意味はないよ
0x08C6381C ＊＊＊＊に罪はあるの？
0x08C6384F この歌の意味は……＊＊＊＊
0x08C63882 NULL
0x08C638B5 ボクはそして気付く
0x08C638E8 所詮はすべて偽善なんだと
0x08C6391B ボクの生きる価値は何？
0x08C6394E 野良猫は水に溺れ死んだ
0x08C63981 空になったコーヒー投げ捨てて
0x08C639B4 闇に覆われた空を見た
0x08C639E7 今のボクは何をしてる？
0x08C63A1A それすらわからない
0x08C63A4D もうなんにもわからない
0x08C63A80 NULL
0x08C63AB3 そしてキミはボクを笑うんだ
0x08C63AE6 パラジクロロベンゼン
0x08C63B19 そしてボクはキミを突き飛ばす
0x08C63B4C パラジクロロベンゼン
0x08C63B7F ボクが正しくてキミは違う
0x08C63BB2 パラジクロロベンゼン
0x08C63BE5 虚無に包まれては消える
0x08C63C18 ボクが消え去るまで
0x08C63C4B さぁ　歌いましょう　踊りましょう
0x08C63C7E パラジクロロベンゼン
0x08C63CB1 さぁ　笑いましょう　妬みましょう
0x08C63CE4 パラジクロロベンゼン
0x08C63D17 ボクもキミも何もかも全部
0x08C63D4A ＊＊＊＊＊＊＊＊＊＊
0x08C63D7D さぁ　狂いましょう　眠りましょう
0x08C63DB0 朽ち果てるまで　さぁ
0x08C63DE3 NULL

# Tsugai Kogarashi

0x08C63E16 かわいた木枯らし　そよそよと
0x08C63E49 かわいた木の葉は　ひらひらと
0x08C63E7C 相見える日を　待ちながら
0x08C63EAF 刻を数え歩く
0x08C63EE2 NULL
0x08C63F15 綴る言の葉に　彩られ
0x08C63F48 紅く色めき　刹那に踊る
0x08C63F7B 紅葉一枚　手の平に滑り
0x08C63FAE 語るは…
0x08C63FE1 NULL
0x08C64014 焼けた故郷に　別れを告げて
0x08C64047 木の葉の手に引かれ　走り去る
0x08C6407A 未だ見ぬ未来への　不安など
0x08C640AD 感じる暇など　ありもせず
0x08C640E0 NULL
0x08C64113 かわいた木の葉は　ひらひらと
0x08C64146 かわいた木枯らし　そよそよと
0x08C64179 繋いだ手と手を　離さずに
0x08C641AC 刻を数え翔ける
0x08C641DF NULL
0x08C64212 普くヒトの命　背負い
0x08C64245 その小さき手で　何を紡ぐ
0x08C64278 ほんの微かな　綻びに
0x08C642AB 死ぬるこの世で
0x08C642DE NULL
0x08C64311 信ずる道を　 ただひたすらに
0x08C64344 歩むお前の　支えとならん
0x08C64377 紅の剣を　携えて
0x08C643AA この身　木の葉と　吹かれて行こう
0x08C643DD NULL
0x08C64410 紅、黄金に　彩られ
0x08C64443 揺れる樹々たち　横切りながら
0x08C64476 枯れ葉　共に　道連れに
0x08C644A9 翔け抜ける　木の葉と　つがゐこがらし
0x08C644DC NULL
0x08C6450F 擦れさざめく　木の葉と共に
0x08C64542 翔ける一陣の　風と共に
0x08C64575 留まる事なく　直走る
0x08C645A8 かわいた唄と　つがゐこがらし
0x08C645DB NULL

# Nekomimi Switch

0x08C6460E ねぼけまなこでウトウト
0x08C64641 定休日の昼下がり
0x08C64674 ねまき姿でウロウロ
0x08C646A7 アツアツの甘い香り
0x08C646DA NULL
0x08C6470D 鉄分　ミネラル　要らないけど
0x08C64740 寝覚めのカフェイン　いつものこと
0x08C64773 「おはよう」挨拶交わす君の頭上にねこみみ
0x08C647A6 寝ぼけてるのさ
0x08C647D9 NULL
0x08C6480C 君と私でにゃあにゃぁ
0x08C6483F ねこみみは量子力学
0x08C64872 △×￥○＠％＆＄＃☆□！
0x08C648A5 「落ち着け、カフェオレ飲もう」
0x08C648D8 NULL
0x08C6490B メモリ不足でアタフタ
0x08C6493E 頭がオーバーフローする
0x08C64971 11次元のスケール
0x08C649A4 宇宙の神秘が加速する
0x08C649D7 NULL
0x08C64A0A 夢か現か幻
0x08C64A3D ナツばて誘う太陽
0x08C64A70 コドモみたいな笑顔で
0x08C64AA3 見つめる先に向日葵
0x08C64AD6 NULL
0x08C64B09 ねこみみ姿が似合う君の横顔
0x08C64B3C ああ　クラクラする
0x08C64B6F 例えば非科学的なことも
0x08C64BA2 信じてしまう夕暮れどきには
0x08C64BD5 NULL
0x08C64C08 君と私でフラフラ
0x08C64C3B すかさず片手繋いだら
0x08C64C6E ふたりの相乗効果で
0x08C64CA1 世界が動転してる
0x08C64CD4 NULL
0x08C64D07 オレンジ色の雲間に
0x08C64D3A しましま模様の光線
0x08C64D6D 頭の上でピカピカ
0x08C64DA0 いちばん星とにばん星
0x08C64DD3 NULL
0x08C64E06 真夏の夜の帳がおりる頃に
0x08C64E39 君と私で見つけた
0x08C64E6C 謎めいた黄色いスイッチ
0x08C64E9F ためしに押した
0x08C64ED2 だけど地球崩壊だとか
0x08C64F05 起こるはずないね
0x08C64F38 だから安心しておやすみ
0x08C64F6B NULL
0x08C64F9E 君と私で　ヒュー↑ヒュー↑
0x08C64FD1 アツい鼓動刻んだら
0x08C65004 かわいいねこみみつけて
0x08C65037 ふたりでゴロゴロしましょ
0x08C6506A NULL
0x08C6509D ナツいアツだね　フー→フー→
0x08C650D0 扇風機の風浴びたら
0x08C65103 アイスが溶けてポタポタ
0x08C65136 あらら　ちょっぴりせつないね
0x08C65169 NULL

# Sekiranun Graffiti

0x08C6519C にわか雨が通り過ぎてく
0x08C651CF ずぶぬれの僕らは立ち尽くして
0x08C65202 NULL
0x08C65235 夏の匂いが少しした
0x08C65268 ねえこのまま旅に出かけようよ
0x08C6529B どこか遠く
0x08C652CE NULL
0x08C65301 どれくらい時が過ぎたって
0x08C65334 この思いを胸にしまって
0x08C65367 僕らは生きてゆくんだ
0x08C6539A 愛とmusicそれだけでいいんだ
0x08C653CD 欲しいものは全てあるから
0x08C65400 僕の中に
0x08C65433 NULL
0x08C65466 海が近づく
0x08C65499 このまま泳げるかもね
0x08C654CC NULL
0x08C654FF 窓は全部開けちゃってさ
0x08C65532 風に乗って気の向くまま行こう
0x08C65565  
0x08C65598 調子外れの鼻歌も
0x08C655CB くだらないその冗談もそうね
0x08C655FE 悪くない
0x08C65631 NULL
0x08C65664 この世界はいつか変わっても
0x08C65697 夜を越えてここに戻って
0x08C656CA 僕らは確かめるんだ
0x08C656FD おどけたように君が笑って
0x08C65730 少し気取って僕が返した
0x08C65763 過ぎゆく日を
0x08C65796 NULL
0x08C657C9 時計の針は回り続ける
0x08C657FC 君は何を信じていくの
0x08C6582F それはね
0x08C65862 NULL
0x08C65895 どれくらい時が過ぎたって
0x08C658C8 この思いを胸にしまって
0x08C658FB 僕らは生きていくんだ
0x08C6592E 愛とmusicそれだけでいいんだ
0x08C65961 大事なものは全てあるのさ
0x08C65994 最初から
0x08C659C7 君の中に
0x08C659FA NULL

# Rin Rin Signal -Append Mix-

0x08C65A2D いつも待ち合わせの時間に
0x08C65A60 早く着きすぎてしまうよ
0x08C65A93 あなたが来るのはいつだって
0x08C65AC6 時間通りじゃないのにね
0x08C65AF9 そっけない態度をしたって
0x08C65B2C 我慢できずににやけちゃう
0x08C65B5F あなたのペースにはかなわないね
0x08C65B92 ちょっとくやしい
0x08C65BC5 NULL
0x08C65BF8 こんな　気持ちはきっと
0x08C65C2B 初めての　事かもしれない
0x08C65C5E どうしよ　そんな無邪気な目で
0x08C65C91 私を見ないで
0x08C65CC4 NULL
0x08C65CF7 好きだよと言ってほしいの
0x08C65D2A もっと力強く抱きしめて
0x08C65D5D 私の小さなハートを
0x08C65D90 リンと鳴らせるのはあなただけよ
0x08C65DC3 リンと音が聞こえたなら
0x08C65DF6 それはあなたへの合図なの
0x08C65E29 耳をすませて聞いてね
0x08C65E5C よそ見をしてたら聞こえないでしょ
0x08C65E8F NULL
0x08C65EC2 俺の気持ちがわからないって
0x08C65EF5 お前はいつも言うけれど
0x08C65F28 素直な言葉を言ったって
0x08C65F5B 気持ち悪がるだけだろ？
0x08C65F8E こんな性格の俺だけど
0x08C65FC1 お前にはわかってるはず
0x08C65FF4 面と向かっては言えないけれど
0x08C66027 感謝している
0x08C6605A NULL
0x08C6608D これは　恋のかけひき
0x08C660C0 いじわるね　そんなことないだろ
0x08C660F3 でもね　繋いだ手はなさない
0x08C66126 けっきょくは優しい
0x08C66159 NULL
0x08C6618C 好きだよと言ってあげるよ
0x08C661BF うっとうしいくらい言ってあげるよ
0x08C661F2 本当にうっとうしそうだねｗ
0x08C66225 やめろと言われてもやめませんから
0x08C66258 リンリンシグナル無視したら
0x08C6628B 違反キップきってしまうぞ
0x08C662BE 気付かなかったじゃすまない
0x08C662F1 言い訳されたら許しちゃうかも
